Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,RFM_Total,Segment
CUST1000,18,3,3802.0599999999995,5,2,2,522,9,Potential
CUST1001,346,1,268.78,3,1,1,311,5,At Risk
CUST1002,156,3,1178.3600000000001,4,2,1,421,7,Potential
CUST1003,36,3,4351.09,5,2,2,522,9,Potential
CUST1005,108,1,1201.61,5,1,1,511,7,Potential
CUST1006,13,1,173.75,5,1,1,511,7,Potential
CUST1007,505,2,1651.6399999999999,2,1,1,211,4,At Risk
CUST1008,96,5,2865.67,5,3,2,532,10,Loyal
CUST1009,244,1,81.67,4,1,1,411,6,At Risk
CUST1010,255,3,2133.0,4,2,1,421,7,Potential
CUST1012,245,1,55.230000000000004,4,1,1,411,6,At Risk
CUST1013,664,1,100.22999999999999,1,1,1,111,3,At Risk
CUST1014,451,2,363.0799999999999,2,1,1,211,4,At Risk
CUST1015,242,1,1772.69,4,1,1,411,6,At Risk
CUST1016,37,2,1507.79,5,1,1,511,7,Potential
CUST1017,488,1,110.48,2,1,1,211,4,At Risk
CUST1018,615,3,597.7900000000001,1,2,1,121,4,At Risk
CUST1019,67,2,807.61,5,1,1,511,7,Potential
CUST1020,659,2,2693.99,1,1,2,112,4,At Risk
CUST1021,177,2,1649.1200000000001,4,1,1,411,6,At Risk
CUST1022,122,3,535.88,5,2,1,521,8,Potential
CUST1023,50,2,623.4200000000001,5,1,1,511,7,Potential
CUST1024,50,2,250.57999999999998,5,1,1,511,7,Potential
CUST1025,11,3,873.22,5,2,1,521,8,Potential
CUST1026,691,1,186.35,1,1,1,111,3,At Risk
CUST1027,129,2,104.91999999999999,5,1,1,511,7,Potential
CUST1028,246,2,526.48,4,1,1,411,6,At Risk
CUST1029,303,2,1005.8799999999999,3,1,1,311,5,At Risk
CUST1030,58,3,3517.3700000000003,5,2,2,522,9,Potential
CUST1031,104,2,136.71,5,1,1,511,7,Potential
CUST1032,211,2,113.64,4,1,1,411,6,At Risk
CUST1033,13,3,1912.06,5,2,1,521,8,Potential
CUST1034,295,4,1147.66,3,2,1,321,6,At Risk
CUST1035,384,1,14.53,3,1,1,311,5,At Risk
CUST1036,5,3,1175.82,5,2,1,521,8,Potential
CUST1038,81,2,374.28,5,1,1,511,7,Potential
CUST1039,175,4,3504.15,4,2,2,422,8,Potential
CUST1040,171,3,2141.62,4,2,1,421,7,Potential
CUST1041,188,1,1525.7,4,1,1,411,6,At Risk
CUST1043,176,1,328.06,4,1,1,411,6,At Risk
CUST1044,252,5,2142.5099999999998,4,3,1,431,8,Potential
CUST1045,587,1,1825.14,1,1,1,111,3,At Risk
CUST1046,371,5,4063.13,3,3,2,332,8,Potential
CUST1047,435,2,1091.6799999999998,3,1,1,311,5,At Risk
CUST1048,302,2,793.59,3,1,1,311,5,At Risk
CUST1049,323,1,2541.04,3,1,2,312,6,At Risk
CUST1050,360,2,2137.71,3,1,1,311,5,At Risk
CUST1051,248,1,50.34,4,1,1,411,6,At Risk
CUST1052,109,4,3675.95,5,2,2,522,9,Potential
CUST1053,138,1,12.04,5,1,1,511,7,Potential
CUST1054,396,2,281.18,3,1,1,311,5,At Risk
CUST1055,115,1,252.57,5,1,1,511,7,Potential
CUST1056,93,3,979.8,5,2,1,521,8,Potential
CUST1057,448,1,44.82,2,1,1,211,4,At Risk
CUST1058,27,3,346.43,5,2,1,521,8,Potential
CUST1059,290,1,9.24,4,1,1,411,6,At Risk
CUST1060,514,1,121.52,2,1,1,211,4,At Risk
CUST1061,382,1,936.57,3,1,1,311,5,At Risk
CUST1063,364,1,437.34,3,1,1,311,5,At Risk
CUST1065,23,5,3340.88,5,3,2,532,10,Loyal
CUST1066,515,1,51.74,2,1,1,211,4,At Risk
CUST1067,86,6,6410.660000000001,5,4,3,543,12,Loyal
CUST1068,41,2,1434.59,5,1,1,511,7,Potential
CUST1069,113,2,90.22999999999999,5,1,1,511,7,Potential
CUST1070,414,2,62.209999999999994,3,1,1,311,5,At Risk
CUST1071,717,1,2.19,1,1,1,111,3,At Risk
CUST1072,497,1,25.74,2,1,1,211,4,At Risk
CUST1073,288,2,1493.33,4,1,1,411,6,At Risk
CUST1074,255,3,1289.5,4,2,1,421,7,Potential
CUST1075,193,2,3341.6300000000006,4,1,2,412,7,Potential
CUST1077,28,3,1407.78,5,2,1,521,8,Potential
CUST1078,378,1,715.52,3,1,1,311,5,At Risk
CUST1079,704,1,116.66,1,1,1,111,3,At Risk
CUST1080,396,4,3265.53,3,2,2,322,7,Potential
CUST1081,427,2,1801.31,3,1,1,311,5,At Risk
CUST1082,173,1,1149.23,4,1,1,411,6,At Risk
CUST1083,102,3,159.08,5,2,1,521,8,Potential
CUST1084,494,1,1062.5,2,1,1,211,4,At Risk
CUST1085,81,4,1918.62,5,2,1,521,8,Potential
CUST1086,315,2,2330.77,3,1,2,312,6,At Risk
CUST1088,115,2,644.47,5,1,1,511,7,Potential
CUST1089,162,2,1233.45,4,1,1,411,6,At Risk
CUST1090,63,3,7010.27,5,2,4,524,11,Loyal
CUST1092,137,2,1409.86,5,1,1,511,7,Potential
CUST1093,375,2,553.01,3,1,1,311,5,At Risk
CUST1094,233,3,1658.31,4,2,1,421,7,Potential
CUST1095,213,1,135.98000000000002,4,1,1,411,6,At Risk
CUST1096,361,3,127.27,3,2,1,321,6,At Risk
CUST1097,58,4,1560.44,5,2,1,521,8,Potential
CUST1098,67,3,1103.76,5,2,1,521,8,Potential
CUST1099,87,2,64.46,5,1,1,511,7,Potential
CUST1100,59,4,1756.53,5,2,1,521,8,Potential
CUST1102,575,1,130.89000000000001,2,1,1,211,4,At Risk
CUST1103,24,3,2326.4700000000003,5,2,2,522,9,Potential
CUST1104,689,1,1972.66,1,1,1,111,3,At Risk
CUST1106,57,3,3498.64,5,2,2,522,9,Potential
CUST1107,334,1,12.84,3,1,1,311,5,At Risk
CUST1108,86,2,6578.82,5,1,3,513,9,Potential
CUST1111,412,1,384.08,3,1,1,311,5,At Risk
CUST1112,224,2,1989.5099999999998,4,1,1,411,6,At Risk
CUST1114,276,2,310.21999999999997,4,1,1,411,6,At Risk
CUST1116,24,1,8.58,5,1,1,511,7,Potential
CUST1118,704,1,15.52,1,1,1,111,3,At Risk
CUST1120,23,2,514.5600000000001,5,1,1,511,7,Potential
CUST1121,57,2,1846.31,5,1,1,511,7,Potential
CUST1122,606,1,21.78,1,1,1,111,3,At Risk
CUST1123,399,2,2623.49,3,1,2,312,6,At Risk
CUST1124,383,1,386.52000000000004,3,1,1,311,5,At Risk
CUST1125,76,3,580.75,5,2,1,521,8,Potential
CUST1126,594,1,13.63,1,1,1,111,3,At Risk
CUST1127,106,3,826.84,5,2,1,521,8,Potential
CUST1128,430,1,136.14,3,1,1,311,5,At Risk
CUST1130,616,1,422.03,1,1,1,111,3,At Risk
CUST1133,47,3,1900.37,5,2,1,521,8,Potential
CUST1135,127,2,1132.44,5,1,1,511,7,Potential
CUST1136,620,1,144.25,1,1,1,111,3,At Risk
CUST1137,293,3,1156.99,4,2,1,421,7,Potential
CUST1138,42,1,45.56,5,1,1,511,7,Potential
CUST1139,336,4,1943.13,3,2,1,321,6,At Risk
CUST1140,48,3,172.74,5,2,1,521,8,Potential
CUST1142,646,2,35.75,1,1,1,111,3,At Risk
CUST1143,161,2,255.41000000000003,4,1,1,411,6,At Risk
CUST1144,310,2,121.05,3,1,1,311,5,At Risk
CUST1145,77,2,2061.92,5,1,1,511,7,Potential
CUST1146,155,1,957.17,4,1,1,411,6,At Risk
CUST1147,61,1,1365.32,5,1,1,511,7,Potential
CUST1148,116,2,460.53999999999996,5,1,1,511,7,Potential
CUST1149,434,1,1203.16,3,1,1,311,5,At Risk
CUST1150,663,1,1256.32,1,1,1,111,3,At Risk
CUST1151,16,2,836.01,5,1,1,511,7,Potential
CUST1152,424,2,1667.81,3,1,1,311,5,At Risk
CUST1153,25,3,279.6,5,2,1,521,8,Potential
CUST1154,36,1,2018.29,5,1,1,511,7,Potential
CUST1155,283,2,306.37,4,1,1,411,6,At Risk
CUST1156,489,1,218.81,2,1,1,211,4,At Risk
CUST1157,46,1,3719.8500000000004,5,1,2,512,8,Potential
CUST1159,2,5,1200.28,5,3,1,531,9,Potential
CUST1160,91,2,326.21999999999997,5,1,1,511,7,Potential
CUST1162,629,1,649.0300000000001,1,1,1,111,3,At Risk
CUST1163,35,4,4269.29,5,2,2,522,9,Potential
CUST1164,211,1,108.43999999999998,4,1,1,411,6,At Risk
CUST1165,167,3,365.59000000000003,4,2,1,421,7,Potential
CUST1166,377,4,913.97,3,2,1,321,6,At Risk
CUST1167,56,5,2343.56,5,3,2,532,10,Loyal
