Order_ID,Order_Date,Customer_ID,Segment,Region,Category,Product,Quantity,Unit_Price,Sales,Discount,Profit
ORD000001,2023-01-01,CUST5555,Corporate,South,Furniture,Desk,1,459.17,367.33,0.2,81.68
ORD000001,2023-01-01,CUST5555,Corporate,South,Office Supplies,Folder,1,9.79,9.79,0.0,1.16
ORD000001,2023-01-01,CUST5555,Corporate,South,Technology,Laptop,4,1067.72,4270.89,0.0,825.79
ORD000002,2023-01-01,CUST8555,Consumer,South,Office Supplies,Folder,1,3.66,3.66,0.0,0.39
ORD000002,2023-01-01,CUST8555,Consumer,South,Technology,Webcam,1,89.47,89.47,0.0,25.53
ORD000003,2023-01-01,CUST6618,Corporate,North,Office Supplies,Binder,2,12.9,25.8,0.0,7.36
ORD000004,2023-01-01,CUST4840,Corporate,North,Technology,Monitor,1,508.39,508.39,0.0,103.99
ORD000004,2023-01-01,CUST4840,Corporate,North,Office Supplies,Binder,1,5.25,5.25,0.0,0.56
ORD000004,2023-01-01,CUST4840,Corporate,North,Office Supplies,Envelope,1,9.72,9.72,0.0,2.73
ORD000004,2023-01-01,CUST4840,Corporate,North,Furniture,Desk,2,446.23,758.59,0.15,110.57
ORD000005,2023-01-01,CUST7776,Consumer,West,Technology,Mouse,1,25.67,25.67,0.0,5.31
ORD000005,2023-01-01,CUST7776,Consumer,West,Technology,Keyboard,1,92.32,92.32,0.0,13.74
ORD000006,2023-01-01,CUST9164,Home Office,West,Office Supplies,Stapler,1,8.59,8.59,0.0,1.7
ORD000007,2023-01-01,CUST7546,Corporate,South,Furniture,Cabinet,2,229.27,458.55,0.0,61.85
ORD000008,2023-01-01,CUST8400,Corporate,East,Office Supplies,Notebook,3,13.16,39.48,0.0,7.14
ORD000009,2023-01-01,CUST7944,Consumer,South,Technology,Headphones,2,156.9,313.81,0.0,84.68
ORD000009,2023-01-01,CUST7944,Consumer,South,Office Supplies,Folder,1,6.55,6.55,0.0,1.14
ORD000009,2023-01-01,CUST7944,Consumer,South,Office Supplies,Paper,4,12.15,48.59,0.0,8.68
ORD000010,2023-01-01,CUST2060,Consumer,West,Furniture,Bookshelf,1,201.61,191.53,0.05,56.7
ORD000010,2023-01-01,CUST2060,Consumer,West,Technology,Headphones,3,95.47,286.4,0.0,46.79
ORD000011,2023-01-01,CUST8206,Consumer,North,Technology,USB Drive,1,18.4,15.64,0.15,3.48
ORD000011,2023-01-01,CUST8206,Consumer,North,Technology,Monitor,2,400.61,801.21,0.0,184.27
ORD000012,2023-01-01,CUST4124,Consumer,West,Furniture,Table,1,430.3,430.3,0.0,47.48
ORD000012,2023-01-01,CUST4124,Consumer,West,Technology,USB Drive,2,20.81,41.63,0.0,10.21
ORD000012,2023-01-01,CUST4124,Consumer,West,Furniture,Chair,1,254.89,254.89,0.0,66.03
ORD000013,2023-01-01,CUST5249,Consumer,West,Technology,USB Drive,1,12.4,11.16,0.1,1.32
ORD000013,2023-01-01,CUST5249,Consumer,West,Office Supplies,Stapler,2,17.83,28.53,0.2,5.56
ORD000014,2023-01-01,CUST7303,Home Office,East,Furniture,Desk,1,606.3,606.3,0.0,76.21
ORD000014,2023-01-01,CUST7303,Home Office,East,Office Supplies,Stapler,2,17.31,34.62,0.0,9.14
ORD000014,2023-01-01,CUST7303,Home Office,East,Furniture,Bookshelf,1,125.47,125.47,0.0,17.93
ORD000015,2023-01-01,CUST8164,Corporate,North,Office Supplies,Binder,1,9.23,9.23,0.0,1.99
ORD000016,2023-01-01,CUST1395,Home Office,North,Technology,Headphones,1,45.52,45.52,0.0,13.2
ORD000017,2023-01-01,CUST5729,Corporate,North,Technology,Laptop,2,1182.14,2364.28,0.0,694.46
ORD000017,2023-01-01,CUST5729,Corporate,North,Office Supplies,Folder,3,8.7,26.09,0.0,6.98
ORD000018,2023-01-01,CUST4486,Corporate,East,Furniture,Bookshelf,1,202.85,172.42,0.15,48.5
ORD000019,2023-01-01,CUST7316,Consumer,North,Office Supplies,Stapler,3,5.65,16.95,0.0,4.81
ORD000020,2023-01-01,CUST8575,Consumer,West,Technology,Headphones,2,58.85,117.69,0.0,20.91
ORD000020,2023-01-01,CUST8575,Consumer,West,Furniture,Chair,1,179.78,179.78,0.0,27.32
ORD000021,2023-01-01,CUST2015,Corporate,North,Technology,USB Drive,4,19.61,78.43,0.0,13.75
ORD000022,2023-01-01,CUST4636,Corporate,North,Office Supplies,Paper,1,14.42,14.42,0.0,2.03
ORD000023,2023-01-01,CUST5976,Corporate,West,Technology,Laptop,1,1050.71,1050.71,0.0,246.2
ORD000024,2023-01-01,CUST7881,Corporate,South,Office Supplies,Pen,1,3.55,3.55,0.0,0.42
ORD000024,2023-01-01,CUST7881,Corporate,South,Furniture,Cabinet,1,341.61,341.61,0.0,96.37
ORD000024,2023-01-01,CUST7881,Corporate,South,Technology,Monitor,2,409.44,818.88,0.0,212.33
ORD000025,2023-01-02,CUST5188,Consumer,West,Technology,Webcam,1,61.15,61.15,0.0,8.18
ORD000026,2023-01-02,CUST7376,Consumer,West,Technology,Laptop,1,1054.99,1002.24,0.05,238.61
ORD000027,2023-01-02,CUST1364,Consumer,South,Furniture,Table,2,263.6,527.19,0.0,147.11
ORD000027,2023-01-02,CUST1364,Consumer,South,Technology,USB Drive,1,20.64,20.64,0.0,3.91
ORD000028,2023-01-02,CUST7371,Corporate,East,Technology,USB Drive,1,21.15,21.15,0.0,4.5
ORD000029,2023-01-02,CUST4735,Home Office,East,Office Supplies,Notebook,1,3.62,3.62,0.0,0.87
ORD000030,2023-01-02,CUST9915,Corporate,North,Technology,USB Drive,2,20.6,37.07,0.1,9.4
ORD000030,2023-01-02,CUST9915,Corporate,North,Furniture,Table,1,219.46,197.52,0.1,40.79
ORD000030,2023-01-02,CUST9915,Corporate,North,Office Supplies,Binder,1,9.54,9.54,0.0,2.0
ORD000031,2023-01-02,CUST4530,Consumer,North,Technology,Headphones,3,94.47,269.24,0.05,65.78
